g,C_feas,C_nr,Q_feas,Q_nr
-5,12.318840579710146,33.298138461538464,,
-4,43.47826086956522,14.608563333333333,,
-3,71.01449275362319,10.582069387755102,,
-2,94.92753623188406,7.130149618320611,0.0,
-1,100.0,5.5429328467153285,0.7246376811594203,6.25
0,100.0,3.7873515151515154,12.318840579710146,0.4518571428571429
1,100.0,2.762079069767442,41.30434782608695,0.6174130434782609
2,99.27536231884058,1.8290426229508197,82.6086956521739,1.1569094736842103
3,100.0,2.031587401574803,99.27536231884058,1.505107627118644
4,100.0,1.632596,98.55072463768117,1.1639313559322035
5,100.0,1.5750079999999997,100.0,0.9616672268907563
6,99.27536231884058,1.0714559322033899,100.0,1.0390983333333332
7,100.0,1.1184942148760333,100.0,0.6922222222222223
8,100.0,0.9397291666666666,100.0,0.669768376068376
9,100.0,0.7966907563025211,100.0,0.5808487179487181
10,100.0,0.6142974358974359,100.0,0.5394957264957264
11,,,100.0,0.47494786324786326
12,,,100.0,0.43834786324786323
13,,,100.0,0.3687972972972973
