circuit,cube_best_grid,cube_nr,conn_nr_same_grid,conn_max_grid,conn_best_nr,winner
19qubits_511gate_153layers,11,0.0,1.093,20,1.093,cube
19qubits_521gate_352layers,11,0.0,0.0,20,0.0,tie
53qubits_155gate_57layers,13,0.0,0.0,21,0.0,tie
53qubits_332gate_152layers,19,0.0,1.299,23,0.0,cube
adder_n28,13,0.0,0.0,21,0.0,tie
adder_n64_transpiled,20,0.0,0.0,26,0.0,tie
bigadder_n18_transpiled,11,0.0,0.0,19,0.0,tie
bwt_n21,10,0.0,0.0,20,0.0,tie
bwt_n37,14,0.0,0.033,22,0.032,cube
bwt_n57,18,0.0,0.0,25,0.0,tie
bwt_n97,27,0.0,0.413,29,0.0,cube
dnn_n16,9,0.0,0.0,18,0.0,tie
factor247_n15,10,0.0,0.0,20,0.0,tie
ghz_n10,8,0.0,0.0,17,0.0,tie
ghz_n100,21,0.0,0.0,29,0.0,tie
ghz_n20,9,0.0,0.0,19,0.0,tie
ghz_n30,12,0.0,0.0,21,0.0,tie
ghz_n40,13,0.0,0.0,22,0.0,tie
ghz_n50,16,0.0,0.0,24,0.0,tie
ghz_n60,17,0.0,0.0,25,0.0,tie
ghz_n70,18,0.0,0.0,26,0.0,tie
ghz_n80,20,0.0,0.0,27,0.0,tie
ghz_n90,20,0.0,0.0,28,0.0,tie
ghz_state_n23,10,0.0,0.0,20,0.0,tie
graphstate_n10,7,0.0,0.0,17,0.0,tie
graphstate_n100,24,0.0,0.0,29,0.0,tie
graphstate_n20,10,0.0,0.0,19,0.0,tie
graphstate_n30,12,0.0,0.0,21,0.0,tie
graphstate_n40,15,0.0,0.0,22,0.0,tie
graphstate_n50,16,0.0,0.0,24,0.0,tie
graphstate_n60,17,0.0,0.0,25,0.0,tie
graphstate_n70,18,0.0,0.0,26,0.0,tie
graphstate_n80,22,0.0,0.0,27,0.0,tie
graphstate_n90,23,0.0,0.0,28,0.0,tie
grover_n10,9,0.0,0.0,18,0.0,tie
grover_n20,11,0.0,0.0,20,0.0,tie
hhl_n10,8,0.0,0.0,17,0.0,tie
ising_n10,8,0.0,0.0,17,0.0,tie
ising_n100,23,0.0,0.0,29,0.0,tie
ising_n20,9,0.0,0.0,19,0.0,tie
ising_n26,12,0.0,0.0,20,0.0,tie
ising_n30,12,0.0,0.0,21,0.0,tie
ising_n40,15,0.0,0.0,22,0.0,tie
ising_n50,16,0.0,0.0,24,0.0,tie
ising_n60,18,0.0,0.0,25,0.0,tie
ising_n70,18,0.0,0.0,26,0.0,tie
ising_n80,20,0.0,0.0,27,0.0,tie
ising_n90,20,0.0,0.0,28,0.0,tie
multiplier_n100,27,0.004,0.007,33,0.007,cube
multiplier_n15,7,0.0,0.0,16,0.0,tie
multiplier_n20,11,0.0,0.0,21,0.0,tie
multiplier_n40,21,0.0,0.0,25,0.0,tie
multiplier_n45,12,0.0,0.0,20,0.0,tie
multiplier_n60,23,0.002,0.008,28,0.004,cube
multiplier_n75,16,0.0,0.0,23,0.0,tie
multiplier_n80,33,0.003,,31,0.004,conn_untested_high
multiply_n13,5,0.0,0.0,15,0.0,tie
qaoa_n10,8,0.0,0.0,17,0.0,tie
qaoa_n100,27,16.783,16.783,31,16.783,tie
qaoa_n20,21,0.0,,20,0.544,conn_untested_high
qaoa_n30,24,1.786,,22,1.905,conn_untested_high
qaoa_n40,24,3.215,,23,3.806,conn_untested_high
qaoa_n50,28,6.729,,25,7.325,conn_untested_high
qaoa_n60,29,8.845,,26,10.239,conn_untested_high
qaoa_n64,30,8.929,,27,10.485,conn_untested_high
qaoa_n70,30,11.519,,27,12.785,conn_untested_high
qaoa_n80,31,14.337,,28,14.993,conn_untested_high
qaoa_n90,29,15.978,15.978,30,15.978,tie
qft_n10,9,0.0,0.0,17,0.0,tie
qft_n100,28,2.793,3.911,30,3.24,cube
qft_n18,18,0.327,0.327,19,0.327,tie
qft_n20,23,0.0,,20,1.316,conn_untested_high
qft_n30,24,2.18,,22,3.205,conn_untested_high
qft_n40,26,1.186,,24,3.22,conn_untested_high
qft_n50,27,1.329,,25,3.671,conn_untested_high
qft_n60,28,0.96,,26,4.141,conn_untested_high
qft_n64,28,1.682,,27,2.009,conn_untested_high
qft_n70,28,1.597,,27,2.353,conn_untested_high
qft_n80,28,1.942,1.942,28,1.942,tie
qft_n90,30,2.484,,29,2.799,conn_untested_high
qram_n20,7,0.0,0.0,16,0.0,tie
randomcircuit_n50,27,2.025,2.627,27,2.628,cube
seca_n11,8,0.0,0.0,17,0.0,tie
square_root_n18,9,0.0,0.0,18,0.0,tie
square_root_n45,13,0.0,0.0,21,0.0,tie
synth_n100_d020_mix000_t030_hf000_hm001_r2_s0,34,5.408,,31,7.741,conn_untested_high
synth_n100_d020_mix050_t030_hf000_hm001_r2_s0,34,6.893,,32,9.579,conn_untested_high
synth_n100_d020_mix100_t030_hf000_hm001_r2_s0,35,8.448,,31,11.311,conn_untested_high
synth_n100_d040_mix000_t030_hf000_hm001_r2_s1,35,7.036,,32,9.44,conn_untested_high
synth_n100_d040_mix050_t030_hf000_hm001_r2_s1,35,8.715,,32,9.652,conn_untested_high
synth_n100_d040_mix100_t030_hf000_hm001_r2_s1,35,9.528,,32,11.685,conn_untested_high
synth_n50_d020_mix000_t030_hf000_hm001_r2_s0,25,0.714,3.571,26,2.714,cube
synth_n50_d020_mix050_t030_hf000_hm001_r2_s0,22,2.286,3.857,26,3.714,cube
synth_n50_d020_mix100_t030_hf000_hm001_r2_s0,22,2.286,5.429,26,5.429,cube
synth_n50_d040_mix000_t030_hf000_hm001_r2_s0,26,1.929,2.786,26,2.786,cube
synth_n50_d040_mix050_t030_hf000_hm001_r2_s0,29,1.643,,26,2.214,conn_untested_high
synth_n50_d040_mix100_t030_hf000_hm001_r2_s0,28,2.643,,26,3.143,conn_untested_high
vqe_real_amp_n10,8,0.0,0.0,17,0.0,tie
vqe_real_amp_n100,23,0.0,0.0,29,0.0,tie
vqe_real_amp_n20,9,0.0,0.0,19,0.0,tie
vqe_real_amp_n30,12,0.0,0.0,21,0.0,tie
vqe_real_amp_n40,15,0.0,0.0,22,0.0,tie
vqe_real_amp_n50,16,0.0,0.0,24,0.0,tie
vqe_real_amp_n60,18,0.0,0.0,25,0.0,tie
vqe_real_amp_n70,18,0.0,0.0,26,0.0,tie
vqe_real_amp_n80,20,0.0,0.0,27,0.0,tie
vqe_real_amp_n90,20,0.0,0.0,28,0.0,tie
vqe_su2_n10,8,0.0,0.0,17,0.0,tie
vqe_su2_n100,23,0.0,0.0,29,0.0,tie
vqe_su2_n20,9,0.0,0.0,19,0.0,tie
vqe_su2_n30,12,0.0,0.0,21,0.0,tie
vqe_su2_n40,15,0.0,0.0,22,0.0,tie
vqe_su2_n50,16,0.0,0.0,24,0.0,tie
vqe_su2_n60,18,0.0,0.0,25,0.0,tie
vqe_su2_n70,18,0.0,0.0,26,0.0,tie
vqe_su2_n80,20,0.0,0.0,27,0.0,tie
vqe_su2_n90,20,0.0,0.0,28,0.0,tie
vqe_two_local_n10,12,0.0,0.0,17,0.0,tie
vqe_two_local_n100,34,24.168,,31,24.343,conn_untested_high
vqe_two_local_n20,23,2.281,,20,2.982,conn_untested_high
vqe_two_local_n30,25,7.51,,22,7.816,conn_untested_high
vqe_two_local_n40,27,9.957,,24,11.538,conn_untested_high
vqe_two_local_n50,27,14.177,,25,16.109,conn_untested_high
vqe_two_local_n60,29,17.514,,27,18.701,conn_untested_high
vqe_two_local_n70,28,19.6,19.6,28,19.6,tie
vqe_two_local_n80,30,20.496,,29,21.076,conn_untested_high
vqe_two_local_n90,30,21.889,21.889,30,21.889,tie
wstate_n10,8,0.0,0.0,17,0.0,tie
wstate_n100,22,0.0,0.0,29,0.0,tie
wstate_n20,9,0.0,0.0,19,0.0,tie
wstate_n27,12,0.0,0.0,20,0.0,tie
wstate_n30,12,0.0,0.0,21,0.0,tie
wstate_n40,15,0.0,0.0,22,0.0,tie
wstate_n50,16,0.0,0.0,24,0.0,tie
wstate_n60,18,0.0,0.0,25,0.0,tie
wstate_n70,18,0.0,0.0,26,0.0,tie
wstate_n80,20,0.0,0.0,27,0.0,tie
wstate_n90,20,0.0,0.0,28,0.0,tie
