circuit,grid,winner_nr,winner_steps,fam
ghz_n10,8,tie,tie,altro
graphstate_n10,7,tie,tie,altro
grover_n10,9,tie,tie,altro
ising_n10,8,tie,tie,altro
qaoa_n10,8,tie,tie,altro
qft_n10,9,tie,tie,altro
vqe_real_amp_n10,8,tie,tie,altro
vqe_su2_n10,8,tie,tie,altro
vqe_two_local_n10,12,tie,tie,altro
wstate_n10,8,tie,tie,altro
seca_n11,8,tie,tie,altro
multiply_n13,5,tie,tie,altro
multiplier_n15,7,tie,tie,altro
hhl_n10,8,tie,tie,altro
dnn_n16,9,tie,tie,altro
bigadder_n18_transpiled,11,tie,tie,altro
qft_n18,18,tie,tie,altro
square_root_n18,9,tie,tie,altro
19qubits_511gate_153layers,11,cube,cube,altro
19qubits_521gate_352layers,11,tie,tie,altro
ghz_n20,9,tie,tie,altro
graphstate_n20,10,tie,tie,altro
ising_n20,9,tie,tie,altro
multiplier_n20,11,tie,tie,altro
qaoa_n20,21,tie,tie,altro
qft_n20,23,tie,tie,altro
qram_n20,7,tie,tie,altro
vqe_real_amp_n20,9,tie,tie,altro
vqe_su2_n20,9,tie,tie,altro
vqe_two_local_n20,23,tie,tie,altro
wstate_n20,9,tie,tie,altro
ghz_state_n23,10,tie,tie,altro
ising_n26,12,tie,tie,altro
wstate_n27,12,tie,tie,altro
adder_n28,13,tie,tie,altro
ghz_n30,12,tie,tie,altro
graphstate_n30,12,tie,tie,altro
ising_n30,12,tie,tie,altro
qaoa_n30,24,tie,tie,altro
qft_n30,24,tie,tie,altro
bwt_n21,10,tie,tie,altro
vqe_real_amp_n30,12,tie,tie,altro
vqe_su2_n30,12,tie,tie,altro
vqe_two_local_n30,25,tie,tie,altro
wstate_n30,12,tie,tie,altro
ghz_n40,13,tie,tie,altro
graphstate_n40,15,tie,tie,altro
ising_n40,15,tie,tie,altro
factor247_n15,10,tie,tie,altro
multiplier_n40,21,tie,tie,altro
qaoa_n40,24,tie,tie,altro
qft_n40,26,tie,tie,altro
vqe_real_amp_n40,15,tie,tie,altro
vqe_su2_n40,15,tie,tie,altro
wstate_n40,15,tie,tie,altro
bwt_n37,14,cube,tie,altro
multiplier_n45,12,tie,tie,altro
vqe_two_local_n40,27,tie,tie,altro
ghz_n50,16,tie,tie,altro
graphstate_n50,16,tie,tie,altro
ising_n50,16,tie,tie,altro
square_root_n45,13,tie,tie,altro
qaoa_n50,28,tie,tie,altro
qft_n50,27,tie,tie,altro
synth_n50_d020_mix000_t030_hf000_hm001_r2_s0,25,cube,cube,synth
synth_n50_d020_mix050_t030_hf000_hm001_r2_s0,22,cube,cube,synth
synth_n50_d020_mix100_t030_hf000_hm001_r2_s0,22,cube,cube,synth
synth_n50_d040_mix000_t030_hf000_hm001_r2_s0,26,cube,tie,synth
synth_n50_d040_mix050_t030_hf000_hm001_r2_s0,29,cube,tie,synth
vqe_real_amp_n50,16,tie,tie,altro
vqe_su2_n50,16,tie,tie,altro
synth_n50_d040_mix100_t030_hf000_hm001_r2_s0,28,cube,cube,synth
wstate_n50,16,tie,tie,altro
53qubits_155gate_57layers,13,tie,tie,altro
53qubits_332gate_152layers,19,cube,tie,altro
vqe_two_local_n50,27,tie,tie,altro
randomcircuit_n50,27,cube,cube,altro
ghz_n60,17,tie,tie,altro
graphstate_n60,17,tie,tie,altro
ising_n60,18,tie,tie,altro
qaoa_n60,29,tie,tie,altro
qft_n60,28,tie,tie,altro
vqe_real_amp_n60,18,tie,tie,altro
vqe_su2_n60,18,tie,tie,altro
wstate_n60,18,tie,tie,altro
multiplier_n60,23,cube,tie,altro
adder_n64_transpiled,20,tie,tie,altro
vqe_two_local_n60,29,tie,tie,altro
ghz_n70,18,tie,tie,altro
qft_n64,28,tie,tie,altro
qaoa_n64,30,tie,tie,altro
graphstate_n70,18,tie,tie,altro
ising_n70,18,tie,tie,altro
vqe_real_amp_n70,18,tie,tie,altro
qft_n70,28,tie,tie,altro
vqe_su2_n70,18,tie,tie,altro
qaoa_n70,30,tie,tie,altro
wstate_n70,18,tie,tie,altro
multiplier_n75,16,tie,tie,altro
ghz_n80,20,tie,tie,altro
graphstate_n80,22,tie,tie,altro
ising_n80,20,tie,tie,altro
vqe_two_local_n70,28,tie,tie,altro
qft_n80,28,tie,tie,altro
vqe_real_amp_n80,20,tie,tie,altro
bwt_n57,18,tie,tie,altro
qaoa_n80,31,tie,tie,altro
vqe_su2_n80,20,tie,tie,altro
wstate_n80,20,tie,tie,altro
ghz_n90,20,tie,tie,altro
graphstate_n90,23,tie,tie,altro
ising_n90,20,tie,tie,altro
vqe_real_amp_n90,20,tie,tie,altro
qft_n90,30,tie,tie,altro
vqe_su2_n90,20,tie,tie,altro
vqe_two_local_n80,30,tie,tie,altro
multiplier_n80,33,cube,tie,altro
wstate_n90,20,tie,tie,altro
qaoa_n90,29,tie,tie,altro
ghz_n100,21,tie,tie,altro
graphstate_n100,24,tie,tie,altro
ising_n100,23,tie,tie,altro
vqe_two_local_n90,30,tie,tie,altro
qft_n100,28,cube,cube,altro
qaoa_n100,27,tie,tie,altro
synth_n100_d020_mix000_t030_hf000_hm001_r2_s0,34,connectivity,connectivity,synth
synth_n100_d020_mix050_t030_hf000_hm001_r2_s0,34,cube,cube,synth
synth_n100_d020_mix100_t030_hf000_hm001_r2_s0,35,cube,connectivity,synth
multiplier_n100,27,cube,tie,altro
synth_n100_d040_mix000_t030_hf000_hm001_r2_s1,35,connectivity,connectivity,synth
synth_n100_d040_mix050_t030_hf000_hm001_r2_s1,35,connectivity,tie,synth
vqe_real_amp_n100,23,tie,tie,altro
vqe_su2_n100,23,tie,tie,altro
synth_n100_d040_mix100_t030_hf000_hm001_r2_s1,35,cube,tie,synth
wstate_n100,22,tie,tie,altro
vqe_two_local_n100,34,tie,tie,altro
bwt_n97,27,cube,tie,altro
grover_n20,11,tie,tie,altro
